period,daten,open_BTC_USD,volume_BTC_USD,open__GSPC,volume__GSPC,open__IXIC,volume__IXIC,open_JPM,volume_JPM,open_BAC,volume_BAC,open_WFC,volume_WFC,open_C,volume_C,open_GS,volume_GS,open_MS,volume_MS,open_USB,volume_USB,open_PNC,volume_PNC,open_TFC,volume_TFC,open_COF,volume_COF,open_FITB,volume_FITB,open_KEY,volume_KEY,open_RF,volume_RF,open_HBAN,volume_HBAN,open_MTB,volume_MTB,open_DFS,volume_DFS,open_FRC,volume_FRC,open_SIVB,volume_SIVB,open_ZION,volume_ZION,open_ALLY,volume_ALLY,month,day,banks_crisis,l_BTC,l_SP500,l_NQ,l_BTC_sh,l_SP500_sh,l_NQ_sh,id,av_banks,l_av_banks,l_av_banks_sh
20mar2023,20mar2023,28041.601563,44774027664,3917.469971,5347140000,11614.389648,4970630000,126.989998,22875500,28.24,81441200,38.119999,34283700,44.709999,31899900,306.779999,3963700,84.599998,8649800,34.529999,43046500,126.110001,5179800,31.040001,26558000,90.959999,4952500,25.690001,22426200,11.96,28571500,18.33,21455400,10.58,30271000,125.07,3044300,93.63999899999999,3135900,,,106.040001,0,30.85,7680700,22.719999,19236400,3,20,0,10.241445,8.273201,9.3599997,.038982391,,,79,1356.96,7.2130022,
21mar2023,21mar2023,27768.392578,36102192830,3975.889893,4920240000,11764.790039,4829870000,130.589996,17807800,28.629999,84854800,38.599998,34664700,45.57,29835600,317.619995,3242400,88.230003,8905600,36,34821400,131.5,4103900,32.23,27948700,93.900002,4360500,27.360001,16433000,12.09,34458700,18.76,21495400,11.11,34061900,126.620003,2805500,97,2341800,,,106.040001,0,31.73,9474400,24.5,12690300,3,21,0,10.231654,8.2880039,9.3728666,-.0097904205,.014802933,.012866974,80,1398.0801,7.2428551,.029852867
22mar2023,22mar2023,28158.720703,33382021890,4002.040039,4533010000,11857.5,4981590000,130.559998,17250200,28.709999,76925900,38.709999,22994400,45.18,21672000,317.279999,2505900,88.75,7299300,37.5,28376900,130.580002,4249900,33.709999,28020600,94.80000299999999,2689900,27.360001,10570600,12.68,27915300,18.870001,19665600,11.22,25852000,127.57,2660600,98.26999699999999,1721900,,,106.040001,0,32.290001,7014400,25.209999,9200000,3,22,0,10.245612,8.2945595,9.3807163,.013957977,.0065555573,.0078496933,81,1405.29,7.2479992,.0051441193
23mar2023,23mar2023,27301.957031,24220433689,3959.209961,4991600000,11811.320313,4917460000,127.900002,16677600,28,105335900,37.490002,30239900,44.310001,24112600,315.209991,2585900,87.949997,9373000,35.029999,26061900,125.580002,5851300,32.68,21065000,91.339996,4584000,26.35,10006700,12.22,32445400,17.91,26435400,10.75,38668600,118.510002,2990200,95.01999699999999,2455900,,,106.040001,0,30.389999,9700700,24.549999,7406000,3,23,0,10.214714,8.2838001,9.3768139,-.030898094,-.010759354,-.0039024353,82,1367.23,7.220542,-.027457237
24mar2023,24mar2023,28324.111328,25980310960,3939.209961,4583970000,11747.620117,4363650000,125.629997,22311100,26.6,96872700,36,35694800,42.84,25453900,310.149994,2456700,84.510002,10978700,34.34,18619300,120,4137300,32.040001,18651900,88.099998,3069100,24.940001,11000000,11.04,28743000,17.23,11571000,10.51,21344900,110.760002,3069300,91.80000299999999,1924500,,,106.040001,0,27.33,10732600,23.67,6692400,3,24,0,10.251469,8.2787352,9.3714056,.036754608,-.0050649643,-.005408287,83,1323.53,7.1880579,-.032484055
25mar2023,25mar2023,27487.337891,13383005987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,0,10.22148,,,-.029988289,,,84,,,
26mar2023,26mar2023,27495.523438,13878363192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,0,10.221779,,,.00029850006,,,85,,,
27mar2023,27mar2023,27994.068359,18188895178,3982.929932,4233540000,11868.540039,4330320000,126.790001,18853900,27.93,102469800,37.02,27454600,44.060001,29335200,318.619995,2300600,86.05999799999999,6626900,36.669998,19966700,128.720001,3467100,34.099998,19298700,93.27999899999999,2466900,26.51,9563400,12.9,26704600,18.52,20207200,11.19,24809600,120.07,2421200,95.12999699999999,1788400,,,106.040001,0,29.879999,7964100,25.174999,6610800,3,27,0,10.239748,8.289773,9.3816462,.017969131,,,86,1378.665,7.2288709,
28mar2023,28mar2023,27132.888672,17783600385,3974.129883,4014600000,11752.759766,4036910000,128.710007,10820500,28.379999,63416500,37.360001,15270000,44.720001,16206000,319.089996,1224300,84.55999799999999,5209900,34.77,15681700,124.480003,2703800,33.049999,11571400,90.709999,1941700,26.1,5926400,12.45,22110900,18.24,8968700,11.11,14751700,118.660004,1757900,94,1323100,,,.53,84502118,29.379999,3636300,24.235001,5787500,3,28,0,10.208502,8.2875614,9.3718433,-.031246185,-.0022115707,-.0098028183,87,1260.535,7.1392918,-.089579105
29mar2023,29mar2023,27267.03125,20684945906,3999.530029,4145250000,11855.589844,4493540000,130.100006,14595300,28.49,62666400,37.599998,20789100,45.59,15047000,322.5,1475900,85.92999999999999,4873500,36.060001,14776400,128.970001,2575600,33.869999,12912100,92.959999,2629800,26.75,7051100,12.6,16516100,18.620001,14269700,11.25,14239500,120.5,1567900,95.989998,2132300,,,.39,67419705,30.5,3196000,24.559999,3045300,3,29,0,10.213433,8.293932,9.3805552,.0049314499,.0063705444,.0087118149,88,1283.2301,7.1571355,.017843723
